curve_label,twist,reason,algorithm1_failure_class
1727a1,749,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,773,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,829,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,973,UPSTREAM_BASE_REMOVAL,A3_ONLY
1727a1,977,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,317,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,445,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,449,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,485,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,533,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,653,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,905,UPSTREAM_BASE_REMOVAL,A3_ONLY
1771a1,949,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,101,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,149,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,229,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,449,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,461,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,541,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,569,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,601,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,641,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,821,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,829,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
1835a1,941,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,101,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,349,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,409,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,461,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,829,UPSTREAM_BASE_REMOVAL,A3_ONLY
1955b1,869,UPSTREAM_BASE_REMOVAL,A3_ONLY
2006f1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
2006f1,137,UPSTREAM_BASE_REMOVAL,A3_ONLY
2006f1,257,UPSTREAM_BASE_REMOVAL,A3_ONLY
2006f1,281,UPSTREAM_BASE_REMOVAL,A3_ONLY
2006f1,433,UPSTREAM_BASE_REMOVAL,A3_ONLY
