curve_label,twist,source,lmfdb_label,conductor,reason
1763c1,21,Zha16_no_2_tors,1763.c1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763c1,57,Zha16_no_2_tors,1763.c1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763c1,213,Zha16_no_2_tors,1763.c1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763c1,453,Zha16_no_2_tors,1763.c1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763c1,633,Zha16_no_2_tors,1763.c1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1763c1,681,Zha16_no_2_tors,1763.c1,1763,STABLE_BASE_ALGORITHM2_REMOVAL
1885c1,381,Zha16_no_2_tors,1885.c1,1885,STABLE_BASE_ALGORITHM2_REMOVAL
1885c1,861,Zha16_no_2_tors,1885.c1,1885,STABLE_BASE_ALGORITHM2_REMOVAL
1955a1,489,Zha16_no_2_tors,1955.a1,1955,STABLE_BASE_ALGORITHM2_REMOVAL
1955a1,501,Zha16_no_2_tors,1955.a1,1955,STABLE_BASE_ALGORITHM2_REMOVAL
2006e1,321,Zha16_no_2_tors,2006.c1,2006,STABLE_BASE_ALGORITHM2_REMOVAL
2006e1,417,Zha16_no_2_tors,2006.c1,2006,STABLE_BASE_ALGORITHM2_REMOVAL
2006e1,489,Zha16_no_2_tors,2006.c1,2006,STABLE_BASE_ALGORITHM2_REMOVAL
2006e1,897,Zha16_no_2_tors,2006.c1,2006,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,177,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,213,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,237,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,309,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,321,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,453,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2147a1,957,Zha16_no_2_tors,2147.a1,2147,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,57,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,165,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,345,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,417,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,429,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,561,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,597,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,645,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2219c1,897,Zha16_no_2_tors,2219.a1,2219,STABLE_BASE_ALGORITHM2_REMOVAL
2230a1,201,Zha16_no_2_tors,2230.c1,2230,STABLE_BASE_ALGORITHM2_REMOVAL
2230a1,321,Zha16_no_2_tors,2230.c1,2230,STABLE_BASE_ALGORITHM2_REMOVAL
2230a1,489,Zha16_no_2_tors,2230.c1,2230,STABLE_BASE_ALGORITHM2_REMOVAL
2230a1,921,Zha16_no_2_tors,2230.c1,2230,STABLE_BASE_ALGORITHM2_REMOVAL
2378c1,33,Zha16_no_2_tors,2378.a1,2378,STABLE_BASE_ALGORITHM2_REMOVAL
