curve_label,source,conductor,generator_twists,old_source_replayed_twists,current_twists,removed_by_new_gcd,added_by_disc_gate_deletion,hidden_both_blocked,semantic_class
70829b1,Zha16_no_2_tors,70829,8,8,8,0,0,0,UNCHANGED
70834c1,CLZ20,70834,7,7,7,0,0,0,UNCHANGED
70865b1,Zha16_no_2_tors,70865,21,21,21,0,0,0,UNCHANGED
7086a1,Zha16_no_2_tors,7086,8,8,8,0,0,0,UNCHANGED
70890j1,Zha16_no_2_tors,70890,2,2,2,0,0,0,UNCHANGED
70890u1,Zha16_no_2_tors,70890,2,2,2,0,0,0,UNCHANGED
7089b1,Zha16_no_2_tors,7089,6,6,6,0,0,0,UNCHANGED
70914b1,Zha16_no_2_tors,70914,5,5,5,0,0,0,UNCHANGED
70914f1,Zha16_no_2_tors,70914,5,5,5,0,0,0,UNCHANGED
70930c1,Zha16_no_2_tors,70930,4,4,4,0,0,0,UNCHANGED
70930f1,Zha16_no_2_tors,70930,3,3,3,0,0,0,UNCHANGED
70933a1,Zha16_no_2_tors,70933,31,31,22,9,0,0,SHRINK_ONLY
7094a1,Zha16_no_2_tors,7094,23,23,18,5,0,0,SHRINK_ONLY
70955b1,Zha16_no_2_tors,70955,13,13,11,2,0,0,SHRINK_ONLY
70961a1,Zha16_no_2_tors,70961,15,15,13,2,0,0,SHRINK_ONLY
70962b1,CLZ20,70962,1,1,1,0,0,0,UNCHANGED
70962c1,Zha16_no_2_tors,70962,7,7,7,0,0,0,UNCHANGED
70978a1,CLZ20,70978,1,1,1,0,0,0,UNCHANGED
70986a1,Zha16_no_2_tors,70986,4,4,4,0,0,0,UNCHANGED
71005a1,CLZ20,71005,1,1,1,0,0,0,UNCHANGED
71005b1,Zha16_no_2_tors,71005,16,16,14,2,0,0,SHRINK_ONLY
71022a1,Zha16_no_2_tors,71022,1,1,1,0,0,0,UNCHANGED
71022l1,Zha16_no_2_tors,71022,1,1,1,0,0,0,UNCHANGED
7102a1,Zha16_no_2_tors,7102,6,6,6,0,0,0,UNCHANGED
